popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
64,168000,0.443,0.778,-7.564,0.266,0.241,0.0,0.215,0.628,128.25,afrobeat
44,318360,0.58,0.8,-7.528,0.345,0.281,0.0,0.0708,0.483,81.303,afrobeat
42,171989,0.805,0.746,-5.211,0.185,0.238,0.0,0.215,0.717,127.922,afrobeat
46,205440,0.582,0.66,-4.988,0.0544,0.399,0.0,0.127,0.484,83.789,afrobeat
44,220800,0.776,0.314,-9.513,0.034,0.881,0.000723,0.139,0.476,124.055,afrobeat
43,258359,0.711,0.515,-8.238,0.0514,0.679,0.000324,0.0971,0.679,90.91,afrobeat
41,254520,0.637,0.818,-6.851,0.281,0.19,0.0,0.102,0.599,90.571,afrobeat
39,261400,0.79,0.814,-6.358,0.0268,0.243,0.0102,0.528,0.914,124.03,afrobeat
40,244933,0.797,0.609,-10.537,0.131,0.00375,0.0191,0.128,0.913,142.035,afrobeat
43,172440,0.506,0.876,-5.877,0.316,0.194,1.86e-06,0.353,0.676,124.218,afrobeat
46,240226,0.788,0.574,-9.068,0.319,0.0626,0.0,0.203,0.764,160.027,afrobeat
39,180000,0.708,0.782,-6.419,0.284,0.0507,0.0,0.251,0.717,94.038,afrobeat
40,177240,0.619,0.781,-6.548,0.333,0.148,0.0,0.183,0.728,182.026,afrobeat
38,232826,0.844,0.915,-4.06,0.129,0.393,0.00238,0.0847,0.872,145.997,afrobeat
41,279720,0.66,0.728,-6.177,0.337,0.178,0.0,0.0516,0.594,91.101,afrobeat
42,273973,0.606,0.6,-7.785,0.139,0.0469,0.0,0.327,0.529,159.971,afrobeat
38,161342,0.67,0.273,-10.77,0.0388,0.946,0.00136,0.179,0.443,128.87,afrobeat
38,175800,0.772,0.789,-7.159,0.298,0.101,0.0,0.0575,0.549,84.96,afrobeat
44,271840,0.434,0.877,-5.945,0.247,0.849,0.0,0.653,0.662,82.109,afrobeat
37,138480,0.755,0.709,-5.066,0.289,0.0528,0.0,0.0825,0.657,140.989,afrobeat
36,146000,0.437,0.357,-7.6,0.0294,0.676,1.11e-06,0.118,0.26,120.088,afrobeat
44,226040,0.789,0.899,-6.363,0.138,0.125,0.0,0.103,0.847,97.999,afrobeat
41,217400,0.763,0.577,-7.085,0.125,0.0875,0.00163,0.101,0.658,90.015,afrobeat
37,188666,0.518,0.918,-5.548,0.276,0.325,0.0,0.79,0.62,98.777,afrobeat
48,198920,0.637,0.715,-7.032,0.074,0.0518,4.65e-05,0.122,0.347,109.859,afrobeat
37,222560,0.87,0.737,-8.372,0.126,0.268,0.00369,0.0504,0.952,136.07,afrobeat
42,226648,0.633,0.805,-5.523,0.0329,0.0529,0.0,0.146,0.925,143.028,afrobeat
44,257146,0.428,0.3,-10.214,0.157,0.638,5.18e-05,0.0987,0.278,81.403,afrobeat
44,227640,0.83,0.604,-5.25,0.0355,0.563,0.00108,0.221,0.82,144.008,afrobeat
41,212826,0.817,0.619,-6.922,0.0542,0.263,0.00317,0.0889,0.614,103.041,afrobeat
45,223600,0.526,0.711,-4.373,0.0465,0.585,0.0,0.0728,0.651,176.27,afrobeat
41,244533,0.573,0.859,-4.346,0.0473,0.108,3.04e-05,0.0779,0.521,147.906,afrobeat
41,243373,0.651,0.861,-6.625,0.109,0.43,0.0,0.981,0.8,98.474,afrobeat
36,327836,0.721,0.741,-6.597,0.0354,0.441,0.00849,0.0775,0.977,131.001,afrobeat
41,235560,0.753,0.653,-5.511,0.0508,0.76,8.56e-06,0.0756,0.706,115.802,afrobeat
41,218880,0.571,0.69,-8.18,0.542,0.299,0.0,0.103,0.228,155.991,afrobeat
46,284875,0.715,0.556,-6.102,0.0453,0.667,0.0,0.132,0.902,87.973,afrobeat
39,249600,0.634,0.393,-9.583,0.0283,0.35,0.000987,0.151,0.54,87.996,afrobeat
37,248520,0.731,0.575,-6.252,0.041,0.703,0.0,0.121,0.704,143.986,afrobeat
39,309493,0.776,0.8,-4.704,0.0438,0.00631,0.0731,0.35,0.583,143.989,afrobeat
38,269986,0.486,0.867,-5.237,0.0892,0.129,0.00176,0.0731,0.358,109.003,afrobeat
42,249960,0.77,0.819,-6.487,0.0703,0.0191,0.0133,0.377,0.732,92.996,afrobeat
37,265200,0.611,0.738,-7.341,0.0443,0.142,0.00837,0.0575,0.725,119.791,afrobeat
37,105360,0.674,0.518,-6.658,0.0806,0.733,3.81e-06,0.085,0.554,133.935,afrobeat
36,171480,0.692,0.749,-4.948,0.0427,0.442,7.13e-05,0.132,0.7,111.986,afrobeat
36,140280,0.717,0.784,-5.138,0.0353,0.73,0.0126,0.0851,0.978,168.146,afrobeat
37,206760,0.817,0.771,-5.132,0.087,0.704,0.0,0.0885,0.76,111.099,afrobeat
35,238346,0.374,0.934,-5.322,0.322,0.058,0.0,0.804,0.389,167.661,afrobeat
37,211280,0.569,0.907,-5.619,0.31,0.602,4.35e-05,0.862,0.562,94.346,afrobeat
40,194293,0.689,0.564,-7.276,0.126,0.149,0.941,0.0909,0.758,87.474,afrobeat
25,205597,0.353,0.548,-5.391,0.0332,0.709,0.0,0.664,0.67,200.152,afrobeat
64,67720,0.778,0.399,-8.984,0.0858,0.0751,0.835,0.103,0.321,137.305,afrobeat
32,253097,0.824,0.72,-8.189,0.142,0.416,0.101,0.102,0.374,116.982,afrobeat
37,149720,0.724,0.833,-6.962,0.0705,0.289,0.000242,0.0991,0.875,144.999,afrobeat
36,195040,0.725,0.618,-9.842,0.046,0.325,0.000133,0.384,0.479,112.681,afrobeat
33,246613,0.522,0.672,-9.058,0.039,0.0785,0.418,0.0864,0.75,155.833,afrobeat
36,250354,0.455,0.738,-6.826,0.0358,0.161,0.0678,0.0996,0.335,125.351,afrobeat
35,220670,0.618,0.945,-4.49,0.112,0.0372,0.00323,0.257,0.76,169.967,afrobeat
33,206999,0.585,0.588,-8.147,0.115,0.405,5.19e-06,0.321,0.429,100.808,afrobeat
33,267853,0.864,0.623,-5.966,0.0344,0.452,0.00967,0.105,0.84,132.008,afrobeat
34,174538,0.694,0.82,-7.885,0.048,0.113,0.897,0.147,0.588,99.922,afrobeat
35,210373,0.685,0.732,-8.589,0.0322,0.00506,0.778,0.064,0.856,127.999,afrobeat
35,148000,0.483,0.994,-6.676,0.0762,0.000444,0.765,0.057,0.702,182.051,afrobeat
33,321351,0.721,0.654,-7.877,0.0231,0.314,1.28e-05,0.828,0.826,102.978,afrobeat
35,242373,0.683,0.823,-6.475,0.0559,0.138,0.067,0.176,0.837,120.03,afrobeat
35,246568,0.614,0.209,-11.445,0.0327,0.868,0.000676,0.182,0.416,119.948,afrobeat
34,219071,0.793,0.658,-6.332,0.0552,0.652,1.11e-06,0.082,0.96,114.039,afrobeat
35,339413,0.591,0.873,-6.877,0.111,0.105,0.0181,0.0676,0.882,162.121,afrobeat
35,303120,0.702,0.689,-6.112,0.221,0.152,0.0,0.0878,0.242,84.063,afrobeat
33,214177,0.64,0.732,-7.078,0.0642,0.641,0.000142,0.114,0.831,112.956,afrobeat
37,148905,0.383,0.711,-8.113,0.0671,0.174,0.000572,0.16,0.432,137.036,afrobeat
36,426306,0.692,0.746,-6.359,0.0362,0.393,0.000496,0.257,0.613,107.981,afrobeat
34,156733,0.779,0.918,-6.912,0.268,0.126,4.61e-05,0.701,0.391,100.041,afrobeat
32,213960,0.653,0.868,-6.12,0.336,0.649,0.0,0.953,0.733,82.15,afrobeat
32,220653,0.795,0.664,-10.679,0.0519,0.188,0.89,0.172,0.854,136.029,afrobeat
34,165160,0.726,0.72,-6.841,0.31,0.327,0.0,0.287,0.874,149.995,afrobeat
34,199360,0.422,0.862,-6.534,0.153,0.602,0.00904,0.294,0.826,80.526,afrobeat
32,261552,0.795,0.573,-9.838,0.0554,0.403,0.004,0.102,0.65,135.123,afrobeat
34,213680,0.6,0.826,-5.654,0.0476,0.0555,0.0,0.0835,0.77,98.046,afrobeat
34,181013,0.759,0.79,-4.355,0.0656,0.264,3.91e-05,0.0707,0.914,135.953,afrobeat
33,267480,0.572,0.874,-7.523,0.127,0.525,8.57e-06,0.711,0.681,94.006,afrobeat
33,213773,0.549,0.901,-6.208,0.296,0.721,0.0,0.913,0.35,152.298,afrobeat
33,173413,0.666,0.761,-5.472,0.0926,0.000143,0.712,0.112,0.797,143.035,afrobeat
35,232293,0.838,0.914,-4.026,0.124,0.378,0.00398,0.0979,0.855,146.0,afrobeat
35,214960,0.797,0.99,-8.001,0.0458,0.000375,0.419,0.0333,0.926,125.023,afrobeat
36,247000,0.688,0.864,-4.957,0.151,0.269,0.000172,0.0357,0.667,180.052,afrobeat
33,222408,0.696,0.724,-4.86,0.0345,0.65,0.0,0.104,0.965,99.929,afrobeat
0,274933,0.469,0.824,-10.785,0.0944,0.478,0.268,0.076,0.781,220.081,afrobeat
0,356333,0.801,0.736,-8.897,0.0395,0.343,0.000183,0.0429,0.942,105.009,afrobeat
0,265586,0.817,0.794,-8.324,0.0752,0.0563,0.229,0.0687,0.921,116.423,afrobeat
34,273426,0.54,0.945,-5.021,0.271,0.315,0.0,0.405,0.551,92.013,afrobeat
33,191453,0.358,0.905,-5.776,0.453,0.304,0.0,0.454,0.468,176.67,afrobeat
0,527506,0.778,0.711,-11.367,0.0643,0.352,0.0473,0.969,0.858,108.127,afrobeat
35,392480,0.285,0.734,-6.956,0.0506,0.3,0.0231,0.903,0.243,140.224,afrobeat
0,334520,0.806,0.478,-11.387,0.107,0.77,0.00036,0.0856,0.959,89.938,afrobeat
33,369773,0.532,0.908,-6.124,0.238,0.367,0.000142,0.992,0.737,126.229,afrobeat
34,191506,0.837,0.598,-9.047,0.181,0.391,0.238,0.0598,0.983,145.219,afrobeat
0,247626,0.784,0.869,-6.595,0.0369,0.0107,0.83,0.0422,0.672,99.175,afrobeat
