popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
66,240200,0.417,0.499,-6.364,0.0296,0.212,0.0,0.112,0.144,135.923,world-music
66,342493,0.431,0.485,-8.085,0.0274,0.452,0.0,0.544,0.367,145.22,world-music
70,333386,0.572,0.685,-7.29,0.0356,0.0291,0.0,0.0963,0.232,110.698,world-music
61,456480,0.37,0.119,-11.513,0.0392,0.953,1.97e-06,0.099,0.183,110.424,world-music
64,206440,0.468,0.655,-6.384,0.0296,0.0149,0.0,0.104,0.222,144.045,world-music
63,285160,0.509,0.778,-3.608,0.0295,0.00998,0.0,0.19,0.216,105.066,world-music
57,339493,0.378,0.596,-5.406,0.0323,0.0182,1.14e-05,0.144,0.172,135.968,world-music
56,198704,0.377,0.644,-8.139,0.0404,0.0041,0.0,0.089,0.299,171.908,world-music
64,229760,0.597,0.417,-7.952,0.0502,0.395,8.35e-06,0.128,0.263,143.839,world-music
63,568791,0.379,0.489,-7.051,0.0281,0.293,8.83e-06,0.721,0.0871,140.937,world-music
52,287532,0.375,0.798,-5.495,0.0497,0.00125,0.0,0.117,0.316,161.794,world-music
56,346346,0.269,0.521,-7.402,0.0338,0.023,0.00228,0.205,0.12,154.087,world-music
54,327000,0.292,0.535,-6.892,0.0393,0.0355,0.0,0.0977,0.316,143.949,world-music
66,296400,0.466,0.67,-4.701,0.0297,0.155,0.0,0.145,0.395,126.142,world-music
58,250626,0.391,0.535,-4.516,0.0291,0.00324,0.0,0.205,0.127,145.937,world-music
63,470880,0.452,0.866,-4.431,0.04,0.0041,0.0,0.134,0.291,81.972,world-music
65,279786,0.512,0.814,-5.467,0.0327,0.00419,0.0,0.0991,0.277,97.996,world-music
63,299365,0.438,0.529,-9.224,0.0324,0.0113,0.0,0.109,0.395,136.147,world-music
62,373691,0.412,0.61,-7.988,0.0379,0.177,0.000102,0.0851,0.242,148.005,world-music
67,503240,0.432,0.524,-8.721,0.0321,0.0289,0.0,0.682,0.183,135.956,world-music
49,266000,0.493,0.692,-5.428,0.0265,0.05,0.0,0.113,0.411,83.501,world-music
63,401759,0.427,0.612,-6.812,0.0309,0.0105,0.0,0.574,0.154,142.053,world-music
61,220826,0.373,0.435,-6.685,0.029,0.352,0.0,0.128,0.176,143.868,world-music
64,305426,0.318,0.573,-5.653,0.0324,0.107,0.0,0.0854,0.0765,156.054,world-music
66,293398,0.429,0.587,-4.588,0.0275,0.315,0.0,0.108,0.164,145.003,world-music
50,362706,0.433,0.6,-6.339,0.0293,0.242,8.71e-05,0.103,0.17,143.818,world-music
60,267066,0.471,0.164,-10.879,0.0324,0.833,0.0,0.101,0.17,125.242,world-music
65,256933,0.459,0.561,-7.091,0.0271,0.0839,0.0,0.0998,0.306,144.783,world-music
61,320506,0.419,0.473,-6.804,0.0282,0.34,0.0,0.111,0.184,70.022,world-music
62,329080,0.271,0.669,-6.046,0.0362,0.000292,0.0,0.61,0.21,171.911,world-music
58,318120,0.507,0.28,-10.284,0.0282,0.775,0.000264,0.122,0.233,139.791,world-music
59,320986,0.366,0.812,-4.609,0.034,0.00946,0.0,0.292,0.241,79.962,world-music
60,265133,0.489,0.477,-7.343,0.0299,0.122,0.0,0.1,0.177,136.045,world-music
0,235493,0.238,0.329,-7.081,0.0354,0.935,0.0,0.118,0.193,136.47,world-music
55,348893,0.443,0.819,-6.61,0.0615,0.00338,0.016,0.696,0.0983,116.033,world-music
2,205738,0.675,0.375,-8.985,0.0452,0.542,2.5e-06,0.0951,0.187,134.023,world-music
1,257720,0.349,0.261,-9.478,0.0306,0.748,0.0,0.104,0.103,137.954,world-music
3,230720,0.418,0.876,-5.157,0.0529,0.00187,0.0,0.829,0.341,128.033,world-music
0,321773,0.282,0.478,-6.411,0.0322,0.835,0.186,0.166,0.127,122.705,world-music
0,229106,0.335,0.552,-6.654,0.0357,0.465,1.18e-06,0.102,0.35,126.622,world-music
0,186760,0.339,0.67,-4.587,0.0405,0.511,0.0,0.208,0.494,147.844,world-music
2,205738,0.675,0.375,-8.985,0.0452,0.542,2.5e-06,0.0951,0.187,134.023,world-music
0,212773,0.444,0.33,-15.594,0.262,0.954,1.49e-06,0.676,0.308,95.47,world-music
0,316920,0.424,0.239,-10.601,0.0309,0.658,1.73e-05,0.0951,0.0697,141.88,world-music
0,215373,0.699,0.585,-5.755,0.0297,0.246,0.000329,0.0975,0.757,124.054,world-music
57,343080,0.396,0.5,-7.746,0.032,0.0128,0.0,0.535,0.099,135.857,world-music
0,117226,0.696,0.715,-7.741,0.0314,0.34,0.0,0.18,0.959,130.021,world-music
0,175426,0.581,0.436,-7.936,0.0443,0.232,0.0,0.0547,0.412,120.138,world-music
0,193653,0.413,0.437,-7.983,0.0327,0.042,3.59e-05,0.146,0.102,120.259,world-music
0,217120,0.607,0.884,-4.059,0.0489,0.023,0.0,0.226,0.555,139.988,world-music
55,300026,0.483,0.556,-8.296,0.0323,0.0514,0.163,0.0981,0.231,140.001,world-music
52,354786,0.522,0.309,-12.762,0.031,0.541,0.000778,0.0953,0.0432,119.879,world-music
54,248360,0.538,0.25,-11.732,0.0277,0.572,0.0,0.109,0.1,140.051,world-music
53,275573,0.508,0.981,-3.882,0.0629,0.000154,6.16e-05,0.833,0.381,131.026,world-music
47,240266,0.368,0.681,-6.451,0.0689,0.0645,0.0,0.0666,0.185,125.071,world-music
50,241946,0.318,0.483,-5.944,0.0304,0.496,0.0,0.115,0.0686,145.491,world-music
61,514665,0.411,0.562,-8.152,0.0362,0.0407,0.0,0.222,0.197,140.015,world-music
41,289466,0.449,0.673,-9.785,0.0405,0.127,0.0162,0.108,0.107,125.959,world-music
60,423193,0.367,0.463,-7.638,0.0335,0.121,1.04e-05,0.0983,0.187,139.996,world-music
54,274814,0.181,0.432,-8.922,0.0387,0.545,0.0,0.965,0.159,68.326,world-music
45,343320,0.522,0.689,-4.575,0.0286,0.129,2.41e-06,0.16,0.0763,111.606,world-music
53,427546,0.399,0.438,-7.947,0.0297,0.131,0.0,0.105,0.211,134.863,world-music
56,424386,0.307,0.587,-8.503,0.0343,0.00594,0.0,0.698,0.0981,127.551,world-music
54,487506,0.317,0.666,-5.809,0.0365,0.343,0.0,0.314,0.179,135.784,world-music
52,267773,0.423,0.46,-6.662,0.0313,0.32,0.0,0.0993,0.205,142.108,world-music
52,256133,0.495,0.789,-4.139,0.0348,0.0199,0.0,0.126,0.286,86.019,world-music
52,299685,0.397,0.467,-7.897,0.0286,0.00954,0.0,0.698,0.142,154.953,world-music
60,242107,0.499,0.73,-6.374,0.0355,0.058,0.0,0.146,0.449,142.016,world-music
48,263840,0.405,0.329,-10.064,0.0309,0.682,2.14e-06,0.541,0.168,66.601,world-music
54,224653,0.551,0.984,-2.997,0.0921,0.000841,0.0,0.55,0.299,123.991,world-music
58,230088,0.525,0.581,-6.222,0.028,0.00749,5.46e-05,0.11,0.326,147.708,world-music
58,247386,0.532,0.447,-10.588,0.0265,0.137,0.0,0.0782,0.236,92.001,world-music
62,385053,0.35,0.25,-10.648,0.0314,0.698,1.46e-05,0.11,0.11,129.82,world-music
62,238306,0.417,0.524,-6.6,0.0326,0.048,0.0,0.103,0.152,75.266,world-music
52,265133,0.49,0.478,-7.329,0.0299,0.119,0.0,0.0959,0.188,136.058,world-music
40,427706,0.339,0.618,-6.663,0.0361,0.251,0.0,0.0669,0.244,173.953,world-music
50,409066,0.453,0.802,-6.636,0.0446,0.0893,0.0,0.0799,0.297,146.024,world-music
54,298226,0.614,0.354,-5.187,0.0322,0.903,0.0,0.289,0.374,115.927,world-music
61,224169,0.545,0.805,-5.792,0.0491,0.0326,0.0,0.781,0.727,110.005,world-music
57,230360,0.586,0.791,-4.761,0.0346,0.255,0.0,0.112,0.305,96.033,world-music
59,317266,0.195,0.68,-6.497,0.0376,0.0242,2.11e-06,0.32,0.221,152.29,world-music
54,246786,0.539,0.971,-3.797,0.215,0.0042,0.0,0.648,0.42,128.025,world-music
50,285115,0.619,0.875,-3.421,0.0455,0.00268,6.1e-06,0.16,0.371,127.94,world-music
53,426320,0.478,0.57,-7.875,0.0348,0.0701,0.0,0.815,0.162,119.901,world-music
52,186946,0.26,0.546,-9.546,0.0351,0.241,0.0,0.833,0.248,143.994,world-music
56,230226,0.455,0.662,-6.963,0.0357,0.0125,0.0,0.635,0.169,77.523,world-music
61,244040,0.42,0.823,-4.889,0.0434,0.00985,0.0,0.103,0.517,163.997,world-music
52,264320,0.455,0.587,-8.665,0.0336,0.00134,0.0,0.0942,0.127,126.836,world-music
58,168693,0.667,0.87,-3.321,0.078,0.391,0.0,0.0697,0.695,104.946,world-music
57,409986,0.268,0.697,-5.886,0.0422,0.0212,4.58e-06,0.38,0.112,144.01,world-music
55,333053,0.452,0.318,-7.1,0.0318,0.87,3e-05,0.277,0.201,135.889,world-music
64,234731,0.43,0.708,-7.14,0.0336,0.0561,0.0,0.704,0.243,75.024,world-music
58,267906,0.444,0.778,-3.037,0.0324,0.051,0.0,0.269,0.42,148.044,world-music
57,244333,0.51,0.937,-4.979,0.0821,0.0187,0.0,0.681,0.539,141.975,world-music
54,321933,0.388,0.568,-9.395,0.0338,0.624,1.64e-06,0.715,0.207,107.965,world-music
54,409146,0.391,0.568,-6.698,0.031,0.0477,2.35e-05,0.538,0.129,142.977,world-music
52,228293,0.575,0.947,-4.31,0.18,0.00167,0.0,0.724,0.377,128.027,world-music
54,329221,0.389,0.488,-7.466,0.0301,0.0047,0.0,0.64,0.303,144.339,world-music
48,310492,0.212,0.465,-7.719,0.0345,0.214,0.0,0.102,0.197,198.694,world-music
0,160199,0.412,0.34,-6.243,0.0339,0.407,0.0,0.404,0.412,92.46,world-music
62,491690,0.303,0.478,-7.851,0.0352,0.371,0.0,0.131,0.117,139.795,world-music
53,162894,0.673,0.864,-6.382,0.044,0.0057,4.3e-06,0.971,0.734,131.914,world-music
51,371506,0.491,0.197,-11.346,0.0303,0.93,2.77e-05,0.101,0.167,127.904,world-music
48,599586,0.423,0.714,-6.543,0.0398,0.000417,1.9e-06,0.131,0.0729,104.996,world-music
43,276320,0.252,0.124,-11.132,0.033,0.848,0.0,0.169,0.221,68.615,world-music
51,247013,0.543,0.5,-7.225,0.0266,0.358,2.97e-06,0.173,0.291,74.019,world-music
59,206103,0.389,0.784,-4.389,0.13,0.203,1.13e-05,0.201,0.484,178.093,world-music
60,526890,0.314,0.634,-7.168,0.0344,0.0207,7.52e-05,0.687,0.172,143.992,world-music
53,406346,0.414,0.712,-6.815,0.0379,0.0486,0.0,0.529,0.185,143.957,world-music
46,508800,0.211,0.558,-6.056,0.0343,0.0448,2.75e-05,0.351,0.0871,127.187,world-music
41,256266,0.459,0.404,-8.279,0.0257,0.437,0.0,0.156,0.244,81.849,world-music
50,188291,0.6,0.159,-15.091,0.0334,0.7,2.59e-05,0.106,0.272,131.953,world-music
54,91226,0.523,0.231,-13.844,0.029,0.777,0.0,0.101,0.146,99.938,world-music
55,303306,0.518,0.744,-7.106,0.0351,0.171,7.63e-06,0.109,0.161,98.022,world-music
55,219720,0.468,0.786,-2.757,0.0334,0.0363,0.0,0.31,0.461,84.992,world-music
59,183280,0.468,0.552,-7.329,0.0448,0.326,2.55e-06,0.131,0.135,149.945,world-music
53,249480,0.374,0.668,-5.244,0.0366,0.0645,0.000106,0.0638,0.212,159.899,world-music
53,220000,0.586,0.783,-3.684,0.026,0.0617,0.0,0.129,0.483,95.932,world-music
56,399506,0.445,0.45,-7.607,0.0356,0.803,0.0,0.0555,0.122,136.046,world-music
51,287532,0.375,0.798,-5.495,0.0497,0.00125,0.0,0.117,0.316,161.794,world-music
54,202624,0.41,0.685,-7.875,0.0377,0.0167,0.000336,0.175,0.154,167.971,world-music
49,271986,0.454,0.525,-7.567,0.0284,0.0267,0.0,0.2,0.329,138.932,world-music
50,218747,0.527,0.911,-4.036,0.0388,0.00066,0.00324,0.103,0.305,127.937,world-music
60,298520,0.49,0.805,-4.578,0.0424,0.00289,3.19e-06,0.141,0.166,109.951,world-music
51,409826,0.367,0.363,-7.965,0.0298,0.692,0.0,0.214,0.172,139.598,world-music
44,292493,0.536,0.563,-7.644,0.0285,0.272,0.0,0.0857,0.207,140.004,world-music
37,320013,0.336,0.697,-5.03,0.0339,3.07e-05,0.0,0.0598,0.125,138.122,world-music
54,271920,0.357,0.552,-6.084,0.0289,0.153,0.0,0.112,0.217,145.811,world-music
56,249213,0.417,0.655,-5.798,0.0347,0.0459,0.0,0.11,0.321,147.972,world-music
56,163880,0.458,0.218,-11.597,0.0281,0.762,8.37e-06,0.105,0.244,94.926,world-music
60,276400,0.497,0.542,-7.398,0.0315,0.16,1.4e-05,0.084,0.0707,93.57,world-music
50,320026,0.501,0.756,-6.208,0.0376,0.0123,0.0,0.967,0.293,104.035,world-music
49,307520,0.408,0.519,-8.732,0.0311,0.106,0.0,0.96,0.212,141.883,world-music
38,299186,0.425,0.843,-5.89,0.0307,0.00907,2.72e-06,0.913,0.387,159.975,world-music
47,428567,0.402,0.411,-8.46,0.0303,0.049,0.0,0.106,0.11,140.132,world-music
